yds;british_tech;british_adj;french;uiaa;australia;saxon;scandinavia;brasil;fontainebleu
5.2;;;1;I;;I;;Isup;
5.3;;;2;II;11;II;;II;
5.4;;;3;III;12;III;;IIsup;2
5.5;4a;VD;4;IV;;IV;;III;3
5.6;;S;5a;V_;13;V;5_;IIIsup;
5.7;4b;HS;;V;14;VI;5;IV;4a
;4c;;5b;V+;15;;;;
5.8;;VS;;VI_;16;VIIa;5+;IVsup;
5.9;5a;HVS;5c;VI;17;VIIb;;V;4b
5.10a;;E1;6a;VI+;18;VIIc;6_;Vsup;
5.10b;5b;;6a+;VII_;19;VIIIa;;VI;
5.10c;;E2;6b;VII;20;VIIIb;6;;
5.10d;5c;;6b+;VII+;21;VIIIc;;VIsup;4c
5.11a;;E3;6c;VII+/VIII_;22;;6+;VIIa;5a
5.11b;;;6c+;VIII_;23;IXa;;;
5.11c;6a;E4;7a;VIII;24;IXb;7_;VIIb;5b
5.11d;;;7a+;VIII+;25;IXc;7;VIIc;5c
5.12a;;E5;7b;VIII+/IX_;26;;7+;VIIIa;6a
5.12b;6b;;7b+;IX_;;Xa;8_;VIIIb;6b
5.12c;;E6;7c;IX;27;Xb;8;VIIIc;6c
5.12d;6c;;7c+;IX+;28;Xc;8+;IXa;7a
5.13a;;E7;8a;IX+/X_;29;;9_;IXb;7a+
5.13b;;;;;;;9;IXc;7b
5.13c;7a;E8;8a+;X_;30;XIa;9+;Xa;7b+
;;;;;;;;;7c
5.13d;;E9;8b;X;31;XIb;10_;Xb;7c+
5.14a;;;8b+;X+;32;XIc;10;Xc;8a
5.14b;7b;E10;8c;XI-;33;XIIa;10+;XIa;8a+
5.14c;;;8c+;XI_/XI;34;XIIa/XIIb;11_;;8b
5.14d;7c;;9a;XI;35;XIIb;11;;8b+
;;;;;;;;;8c
5.15a;;;9a+;XI/XI+;;;11+;;8c+
;;;9a+/9b;XI+;;;;;
5.15b;;;9b;XI+/XII_;;;;;
5.15c;;;9b+;;;;;;
5.15d;;;9c;XII;;;;;
